Code,Country,Code3
AUS,Australia,AUS
AUT,Austria,AUT
BLR,Belarus,BLR
BEL,Belgium,BEL
BGR,Bulgaria,BGR
CAN,Canada,CAN
CHL,Chile,CHL
CZE,Czech Republic,CZE
DNK,Denmark,DNK
EST,Estonia,EST
FIN,Finland,FIN
FRATNP,France,FRA
DEUTNP,Germany,DEU
HUN,Hungary,HUN
ISL,Iceland,ISL
ISR,Israel,ISR
ITA,Italy,ITA
JPN,Japan,JPN
LVA,Latvia,LVA
LTU,Lithuania,LTU
LUX,Luxembourg,LUX
NLD,Netherlands,NLD
NZL_NP,New Zealand,NZL
NOR,Norway,NOR
POL,Poland,POL
PRT,Portugal,PRT
RUS,Russia,RUS
SVK,Slovakia,SVK
SVN,Slovenia,SVN
ESP,Spain,ESP
SWE,Sweden,SWE
TWN,Taiwan,TWN
USA,USA,USA
UKR,Ukraine,UKR
CHE,Switzerland,CHE
GBR_NP,UK,GBR
